Name,Base Experience,Height,Weight,Image URL
golduck,175,17,766,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
mankey,61,5,280,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
primeape,159,10,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
growlithe,70,7,190,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
arcanine,194,19,1550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
poliwag,60,6,124,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
poliwhirl,135,10,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
poliwrath,255,13,540,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
abra,62,9,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
kadabra,140,13,565,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
alakazam,250,15,480,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
machop,61,8,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
machoke,142,15,705,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
machamp,253,16,1300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
bellsprout,60,7,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
weepinbell,137,10,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
victreebel,221,17,155,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
tentacool,67,9,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
tentacruel,180,16,550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
geodude,60,4,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
graveler,137,10,1050,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
golem,223,14,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
ponyta,82,10,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
rapidash,175,17,950,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
slowpoke,63,12,360,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
slowbro,172,16,785,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
magnemite,65,3,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
magneton,163,10,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
farfetchd,132,8,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
doduo,62,14,392,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
dodrio,165,18,852,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
seel,65,11,900,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
dewgong,166,17,1200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
grimer,65,9,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
muk,175,12,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
shellder,61,3,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
cloyster,184,15,1325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
gastly,62,13,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
haunter,142,16,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
gengar,250,15,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
onix,77,88,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
drowzee,66,10,324,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
hypno,169,16,756,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
krabby,65,4,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
kingler,166,13,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
voltorb,66,5,104,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
electrode,172,12,666,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
exeggcute,65,4,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
exeggutor,186,20,1200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
cubone,64,4,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
marowak,149,10,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
hitmonlee,159,15,498,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
hitmonchan,159,14,502,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
lickitung,77,12,655,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
koffing,68,6,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
weezing,172,12,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
rhyhorn,69,10,1150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
rhydon,170,19,1200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
chansey,395,11,346,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
tangela,87,10,350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
kangaskhan,172,22,800,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
horsea,59,4,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
seadra,154,12,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
goldeen,64,6,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
seaking,158,13,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
staryu,68,8,345,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
starmie,182,11,800,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
mr-mime,161,13,545,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
scyther,100,15,560,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
jynx,159,14,406,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
electabuzz,172,11,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
magmar,173,13,445,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
pinsir,175,15,550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
tauros,172,14,884,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
magikarp,40,9,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
gyarados,189,65,2350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
lapras,187,25,2200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
ditto,101,3,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
eevee,65,3,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
vaporeon,184,10,290,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
jolteon,184,8,245,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
flareon,184,9,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
porygon,79,8,365,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
omanyte,71,4,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
omastar,173,10,350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
kabuto,71,5,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
kabutops,173,13,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
aerodactyl,180,18,590,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
snorlax,189,21,4600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
articuno,290,17,554,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
zapdos,290,16,526,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
moltres,290,20,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
dratini,60,18,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
dragonair,147,40,165,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
dragonite,300,22,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
mewtwo,340,20,1220,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
mew,300,4,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
chikorita,64,9,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
bayleef,142,12,158,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
meganium,236,18,1005,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
cyndaquil,62,5,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
quilava,142,9,190,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png
typhlosion,240,17,795,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
totodile,63,6,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
croconaw,142,11,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
feraligatr,239,23,888,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
sentret,43,8,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
furret,145,18,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
hoothoot,52,7,212,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
noctowl,158,16,408,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
ledyba,53,10,108,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
ledian,137,14,356,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
spinarak,50,5,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
ariados,140,11,335,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
crobat,268,18,750,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
chinchou,66,5,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
lanturn,161,12,225,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
pichu,41,3,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
cleffa,44,3,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
igglybuff,42,3,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
togepi,49,3,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
togetic,142,6,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
natu,64,2,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
xatu,165,15,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
mareep,56,6,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
flaaffy,128,8,133,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
ampharos,230,14,615,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
bellossom,245,4,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
marill,88,4,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
azumarill,210,8,285,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
sudowoodo,144,12,380,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
politoed,250,11,339,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
hoppip,50,4,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
skiploom,119,6,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
jumpluff,207,8,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
aipom,72,8,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
sunkern,36,3,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
sunflora,149,8,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png
yanma,78,12,380,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png
wooper,42,4,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png
quagsire,151,14,750,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png
espeon,184,9,265,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png
umbreon,184,10,270,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png
murkrow,81,5,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png
slowking,172,20,795,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png
misdreavus,87,7,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png
unown,118,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png
wobbuffet,142,13,285,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png
girafarig,159,15,415,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png
pineco,58,6,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png
forretress,163,12,1258,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png
dunsparce,145,15,140,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png
gligar,86,11,648,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png
steelix,179,92,4000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png
snubbull,60,6,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png
granbull,158,14,487,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png
qwilfish,88,5,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png
scizor,175,18,1180,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png
shuckle,177,6,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png
heracross,175,15,540,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png
sneasel,86,9,280,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png
teddiursa,66,6,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png
ursaring,175,18,1258,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png
slugma,50,7,350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png
magcargo,151,8,550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png
swinub,50,4,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png
piloswine,158,11,558,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png
corsola,144,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png
remoraid,60,6,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png
octillery,168,9,285,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png
delibird,116,9,160,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png
mantine,170,21,2200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png
skarmory,163,17,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png
houndour,66,6,108,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png
houndoom,175,14,350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png
kingdra,270,18,1520,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png
phanpy,66,5,335,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png
donphan,175,11,1200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png
porygon2,180,6,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png
stantler,163,14,712,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png
smeargle,88,12,580,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png
tyrogue,42,7,210,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png
hitmontop,159,14,480,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png
smoochum,61,4,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png
elekid,72,6,235,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png
magby,73,7,214,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png
miltank,172,12,755,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png
blissey,635,15,468,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png
raikou,290,19,1780,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png
entei,290,21,1980,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png
suicune,290,20,1870,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png
larvitar,60,6,720,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png
pupitar,144,12,1520,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png
tyranitar,300,20,2020,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png
lugia,340,52,2160,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png
ho-oh,340,38,1990,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png
celebi,300,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png
treecko,62,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png
grovyle,142,9,216,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png
sceptile,265,17,522,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png
torchic,62,4,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png
combusken,142,9,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png
blaziken,265,19,520,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png
mudkip,62,4,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png
marshtomp,142,7,280,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png
swampert,268,15,819,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png
poochyena,56,5,136,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png
mightyena,147,10,370,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png
zigzagoon,56,4,175,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png
linoone,147,5,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png
wurmple,56,3,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png
silcoon,72,6,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png
beautifly,178,10,284,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png
cascoon,72,7,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png
dustox,173,12,316,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png
lotad,44,5,26,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png
lombre,119,12,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png
ludicolo,240,15,550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png
seedot,44,5,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png
nuzleaf,119,10,280,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png
